date,temp,precip,dem,sFlow
12/1/1991,6.222222222,25.9588,5975473,210113.6129
1/1/1992,3.666666667,8.0518,7100282,86325
2/1/1992,7.277777778,8.8138,6056584,70545.89655
3/1/1992,9.055555556,13.2588,6108469,95289.58065
4/1/1992,14,5.4102,5314455,61779.66667
5/1/1992,17.44444444,8.0772,5769923,42290.83871
6/1/1992,21.33333333,15.4686,6549772,51789.76667
7/1/1992,24.94444444,13.5128,7504996,34274.32258
8/1/1992,22.11111111,11.811,6919778,29309.29032
9/1/1992,20.33333333,11.684,6229563,38860.83333
10/1/1992,13.66666667,6.8072,5876994,24483.51613
11/1/1992,8.777777778,11.43,5943594,58624.23333
12/1/1992,4,11.7602,6443182,96321.6129
1/1/1993,4.944444444,9.9568,7047516,117575.4516
2/1/1993,3.555555556,7.6962,6709256,66527.89655
3/1/1993,7.277777778,13.589,6220005,160823.0323
4/1/1993,12.55555556,10.668,5630123,103581.3333
5/1/1993,18.55555556,12.319,5914849,63556.80645
6/1/1993,23.05555556,8.5598,6043555,31254.9
7/1/1993,26.94444444,5.969,6539880,18103.3871
8/1/1993,25.16666667,9.8552,6359979,16499.96774
9/1/1993,20.16666667,10.6426,5616927,16587.53333
10/1/1993,13.77777778,6.477,4935347,15121.35484
11/1/1993,7.833333333,9.5758,5195127,23750.46667
12/1/1993,4,17.2466,5961862,74089.70968
1/1/1994,0,15.1384,6562461,137179.4839
2/1/1994,5.444444444,17.7038,5458390,242272.3448
3/1/1994,9,24.3586,6265838,253515.6452
4/1/1994,15.66666667,16.637,6173241,201446.2667
5/1/1994,16.61111111,9.8044,6809775,58504.83871
6/1/1994,24.11111111,15.0876,7227227,49625
7/1/1994,24.33333333,13.6144,6961079,48454.09677
8/1/1994,23.27777778,9.7028,7075595,40607
9/1/1994,19.38888889,7.3914,5743238,20348.76667
10/1/1994,14.94444444,9.1694,5031649,27403.83871
11/1/1994,11.55555556,9.9822,5571384,37574.66667
12/1/1994,6.5,8.6614,6566652,61315.06452
1/1/1995,3.444444444,13.9954,7061672,105087.7097
2/1/1995,3.888888889,7.4676,6672854,101545.2069
3/1/1995,11,10.4394,7029612,113197.6452
4/1/1995,14.83333333,8.9154,5716648,40342
5/1/1995,19,15.4178,7068494,72895.74194
6/1/1995,22.22222222,11.4046,6893948,38507.83333
7/1/1995,25.16666667,10.2108,7559334,31465.51613
8/1/1995,26.33333333,11.0998,7498990,30572.6129
9/1/1995,20.11111111,8.5344,6407012,18107.06667
10/1/1995,14.66666667,12.573,6745107,47409.22581
11/1/1995,6,14.7066,6765183,75770.3
12/1/1995,2.944444444,7.6962,7474169,48580.35484
1/1/1996,2.111111111,14.6558,6681776,171903.3871
2/1/1996,3.944444444,7.5184,6292411,127338.2069
3/1/1996,6.388888889,14.9606,5887470,152575.6452
4/1/1996,12.5,10.8204,5801110,99674.8
5/1/1996,20.33333333,12.5476,6129603,72484.03226
6/1/1996,23,11.7602,6863975,49706.33333
7/1/1996,24.22222222,16.1798,7571599,33892.6129
8/1/1996,23.88888889,8.0772,7833588,34824.77419
9/1/1996,19.72222222,16.2814,6713174,34349.83333
10/1/1996,14.72222222,7.7978,5636210,16965.19355
11/1/1996,6.944444444,16.8402,6211285,69424.86667
12/1/1996,5.944444444,15.1384,7125254,142823.6774
